Temperature (C),Pressure (psia),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/psia),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
100,14,0.56887,1.7579,2506.6,2676.2,7.3784,1.5479,2.0684,472.47,0.82502,1.23E-05,0.025036,vapor
100,14.709,0.59817,1.6718,2506,2675.6,7.3541,1.5558,2.08,472.2,0.82788,1.23E-05,0.025096,vapor
100,14.709,958.35,0.0010435,419.06,419.17,1.3072,3.7682,4.2157,1543.2,-0.0022114,0.00028174,0.67909,liquid
100,15,958.35,0.0010435,419.06,419.17,1.3072,3.7682,4.2157,1543.2,-0.0022115,0.00028174,0.67909,liquid
100,16,958.35,0.0010435,419.06,419.17,1.3072,3.7681,4.2157,1543.2,-0.0022115,0.00028174,0.6791,liquid
100,17,958.36,0.0010435,419.06,419.18,1.3072,3.7681,4.2156,1543.2,-0.0022115,0.00028175,0.6791,liquid
100,18,958.36,0.0010434,419.05,419.18,1.3072,3.7681,4.2156,1543.2,-0.0022115,0.00028175,0.6791,liquid
100,19,958.36,0.0010434,419.05,419.19,1.3072,3.7681,4.2156,1543.2,-0.0022115,0.00028175,0.67911,liquid
100,20,958.37,0.0010434,419.05,419.19,1.3072,3.7681,4.2156,1543.2,-0.0022115,0.00028175,0.67911,liquid
100,21,958.37,0.0010434,419.05,419.2,1.3072,3.7681,4.2156,1543.3,-0.0022115,0.00028175,0.67912,liquid
100,22,958.37,0.0010434,419.05,419.2,1.3072,3.7681,4.2156,1543.3,-0.0022116,0.00028176,0.67912,liquid
100,23,958.38,0.0010434,419.04,419.21,1.3072,3.7681,4.2155,1543.3,-0.0022116,0.00028176,0.67912,liquid
100,24,958.38,0.0010434,419.04,419.21,1.3072,3.7681,4.2155,1543.3,-0.0022116,0.00028176,0.67913,liquid
100,25,958.38,0.0010434,419.04,419.22,1.3072,3.7681,4.2155,1543.3,-0.0022116,0.00028176,0.67913,liquid
100,26,958.39,0.0010434,419.04,419.22,1.3072,3.768,4.2155,1543.3,-0.0022116,0.00028176,0.67913,liquid
100,27,958.39,0.0010434,419.04,419.23,1.3071,3.768,4.2155,1543.3,-0.0022116,0.00028177,0.67914,liquid
100,28,958.39,0.0010434,419.03,419.23,1.3071,3.768,4.2155,1543.4,-0.0022116,0.00028177,0.67914,liquid
100,29,958.4,0.0010434,419.03,419.24,1.3071,3.768,4.2154,1543.4,-0.0022117,0.00028177,0.67915,liquid
100,30,958.4,0.0010434,419.03,419.25,1.3071,3.768,4.2154,1543.4,-0.0022117,0.00028177,0.67915,liquid
100,31,958.4,0.0010434,419.03,419.25,1.3071,3.768,4.2154,1543.4,-0.0022117,0.00028177,0.67915,liquid
100,32,958.41,0.0010434,419.03,419.26,1.3071,3.768,4.2154,1543.4,-0.0022117,0.00028177,0.67916,liquid
100,33,958.41,0.0010434,419.02,419.26,1.3071,3.768,4.2154,1543.4,-0.0022117,0.00028178,0.67916,liquid
100,34,958.41,0.0010434,419.02,419.27,1.3071,3.768,4.2154,1543.4,-0.0022117,0.00028178,0.67916,liquid
100,35,958.41,0.0010434,419.02,419.27,1.3071,3.7679,4.2154,1543.5,-0.0022117,0.00028178,0.67917,liquid
100,36,958.42,0.0010434,419.02,419.28,1.3071,3.7679,4.2153,1543.5,-0.0022118,0.00028178,0.67917,liquid
100,37,958.42,0.0010434,419.02,419.28,1.3071,3.7679,4.2153,1543.5,-0.0022118,0.00028178,0.67918,liquid
100,38,958.42,0.0010434,419.01,419.29,1.3071,3.7679,4.2153,1543.5,-0.0022118,0.00028179,0.67918,liquid
100,39,958.43,0.0010434,419.01,419.29,1.3071,3.7679,4.2153,1543.5,-0.0022118,0.00028179,0.67918,liquid
100,40,958.43,0.0010434,419.01,419.3,1.3071,3.7679,4.2153,1543.5,-0.0022118,0.00028179,0.67919,liquid
100,41,958.43,0.0010434,419.01,419.3,1.3071,3.7679,4.2153,1543.5,-0.0022118,0.00028179,0.67919,liquid
100,42,958.44,0.0010434,419.01,419.31,1.3071,3.7679,4.2152,1543.6,-0.0022118,0.00028179,0.6792,liquid
100,43,958.44,0.0010434,419,419.31,1.3071,3.7679,4.2152,1543.6,-0.0022119,0.00028179,0.6792,liquid
100,44,958.44,0.0010434,419,419.32,1.3071,3.7678,4.2152,1543.6,-0.0022119,0.0002818,0.6792,liquid
100,45,958.45,0.0010434,419,419.32,1.307,3.7678,4.2152,1543.6,-0.0022119,0.0002818,0.67921,liquid
101,14,0.56723,1.763,2508.1,2678.3,7.3839,1.545,2.0643,473.18,0.81294,1.23E-05,0.025104,vapor
101,15,0.60842,1.6436,2507.4,2677.4,7.3501,1.5558,2.0801,472.8,0.81663,1.23E-05,0.025188,vapor
101,15.242,0.61841,1.6171,2507.2,2677.1,7.3422,1.5585,2.0841,472.7,0.81763,1.23E-05,0.025208,vapor
101,15.242,957.63,0.0010442,423.28,423.39,1.3185,3.763,4.2168,1542.3,-0.002204,0.00027881,0.67941,liquid
101,16,957.63,0.0010442,423.27,423.39,1.3185,3.763,4.2168,1542.3,-0.002204,0.00027881,0.67941,liquid
101,17,957.63,0.0010442,423.27,423.39,1.3185,3.763,4.2168,1542.3,-0.0022041,0.00027881,0.67941,liquid
101,18,957.64,0.0010442,423.27,423.4,1.3185,3.7629,4.2168,1542.3,-0.0022041,0.00027881,0.67942,liquid
101,19,957.64,0.0010442,423.27,423.4,1.3185,3.7629,4.2168,1542.3,-0.0022041,0.00027882,0.67942,liquid
101,20,957.64,0.0010442,423.27,423.41,1.3185,3.7629,4.2168,1542.3,-0.0022041,0.00027882,0.67942,liquid
101,21,957.65,0.0010442,423.26,423.41,1.3185,3.7629,4.2167,1542.3,-0.0022041,0.00027882,0.67943,liquid
101,22,957.65,0.0010442,423.26,423.42,1.3185,3.7629,4.2167,1542.4,-0.0022041,0.00027882,0.67943,liquid
