Temperature (C),Pressure (psia),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/psia),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
100,14,0.56887,1.7579,2506.6,2676.2,7.3784,1.5479,2.0684,472.47,0.82502,1.23E-05,0.025036,vapor
102,14,0.5656,1.768,2509.7,2680.4,7.3894,1.5423,2.0604,473.89,0.80126,1.23E-05,0.025172,vapor
104,14,0.56238,1.7782,2512.8,2684.5,7.4004,1.5374,2.0533,475.28,0.77894,1.24E-05,0.025309,vapor
106,14,0.5592,1.7883,2516,2688.6,7.4112,1.5331,2.0468,476.66,0.75786,1.25E-05,0.025448,vapor
108,14,0.55607,1.7983,2519.1,2692.7,7.422,1.5291,2.041,478.03,0.73786,1.26E-05,0.025588,vapor
110,14,0.55297,1.8084,2522.2,2696.8,7.4326,1.5256,2.0356,479.38,0.71882,1.26E-05,0.025729,vapor
112,14,0.54992,1.8185,2525.3,2700.8,7.4432,1.5224,2.0307,480.73,0.70062,1.27E-05,0.025873,vapor
114,14,0.5469,1.8285,2528.4,2704.9,7.4537,1.5194,2.0262,482.06,0.6832,1.28E-05,0.026017,vapor
116,14,0.54392,1.8385,2531.5,2708.9,7.4642,1.5168,2.022,483.38,0.66648,1.29E-05,0.026163,vapor
118,14,0.54098,1.8485,2534.5,2713,7.4745,1.5143,2.0181,484.7,0.65042,1.29E-05,0.02631,vapor
120,14,0.53807,1.8585,2537.6,2717,7.4848,1.5121,2.0144,486.01,0.63496,1.30E-05,0.026459,vapor
122,14,0.5352,1.8685,2540.7,2721,7.495,1.51,2.011,487.31,0.62007,1.31E-05,0.026609,vapor
124,14,0.53236,1.8784,2543.7,2725,7.5051,1.5081,2.0079,488.6,0.60572,1.32E-05,0.02676,vapor
126,14,0.52956,1.8884,2546.8,2729.1,7.5152,1.5063,2.0049,489.89,0.59186,1.33E-05,0.026913,vapor
128,14,0.52679,1.8983,2549.8,2733.1,7.5252,1.5047,2.0022,491.16,0.57849,1.33E-05,0.027066,vapor
130,14,0.52405,1.9082,2552.9,2737.1,7.5352,1.5032,1.9996,492.44,0.56557,1.34E-05,0.027221,vapor
132,14,0.52134,1.9181,2555.9,2741.1,7.5451,1.5019,1.9973,493.7,0.55308,1.35E-05,0.027377,vapor
134,14,0.51866,1.928,2558.9,2745.1,7.5549,1.5007,1.995,494.96,0.54101,1.36E-05,0.027535,vapor
136,14,0.51602,1.9379,2562,2749,7.5647,1.4995,1.9929,496.21,0.52933,1.36E-05,0.027693,vapor
138,14,0.5134,1.9478,2565,2753,7.5744,1.4985,1.991,497.46,0.51802,1.37E-05,0.027853,vapor
140,14,0.51081,1.9577,2568,2757,7.5841,1.4976,1.9892,498.7,0.50708,1.38E-05,0.028013,vapor
142,14,0.50825,1.9676,2571.1,2761,7.5937,1.4968,1.9875,499.93,0.49648,1.39E-05,0.028175,vapor
144,14,0.50571,1.9774,2574.1,2765,7.6032,1.496,1.986,501.16,0.48622,1.40E-05,0.028338,vapor
146,14,0.50321,1.9873,2577.1,2768.9,7.6127,1.4954,1.9846,502.39,0.47627,1.40E-05,0.028502,vapor
148,14,0.50073,1.9971,2580.1,2772.9,7.6221,1.4948,1.9832,503.61,0.46662,1.41E-05,0.028666,vapor
150,14,0.49827,2.0069,2583.1,2776.9,7.6315,1.4943,1.982,504.82,0.45728,1.42E-05,0.028832,vapor
152,14,0.49584,2.0168,2586.1,2780.8,7.6409,1.4939,1.9809,506.03,0.44821,1.43E-05,0.028999,vapor
154,14,0.49344,2.0266,2589.2,2784.8,7.6502,1.4935,1.9798,507.24,0.43941,1.43E-05,0.029167,vapor
156,14,0.49106,2.0364,2592.2,2788.7,7.6594,1.4932,1.9789,508.43,0.43088,1.44E-05,0.029336,vapor
158,14,0.48871,2.0462,2595.2,2792.7,7.6686,1.493,1.978,509.63,0.42259,1.45E-05,0.029506,vapor
160,14,0.48638,2.056,2598.2,2796.7,7.6778,1.4928,1.9773,510.82,0.41455,1.46E-05,0.029676,vapor
162,14,0.48407,2.0658,2601.2,2800.6,7.6869,1.4927,1.9766,512,0.40673,1.47E-05,0.029848,vapor
164,14,0.48179,2.0756,2604.2,2804.6,7.6959,1.4926,1.9759,513.18,0.39914,1.47E-05,0.030021,vapor
166,14,0.47953,2.0854,2607.2,2808.5,7.705,1.4926,1.9754,514.36,0.39177,1.48E-05,0.030194,vapor
168,14,0.47729,2.0952,2610.2,2812.5,7.7139,1.4926,1.9749,515.53,0.3846,1.49E-05,0.030369,vapor
170,14,0.47508,2.1049,2613.2,2816.4,7.7229,1.4927,1.9745,516.7,0.37763,1.50E-05,0.030544,vapor
100,16,958.35,0.0010435,419.06,419.17,1.3072,3.7681,4.2157,1543.2,-0.0022115,0.00028174,0.6791,liquid
102,16,956.91,0.001045,427.49,427.61,1.3297,3.7578,4.218,1541.3,-0.0021966,0.00027593,0.67971,liquid
